Id,NAME,ADDRESS,CITY,STATE_HEADQUARTERED,ZIP,PHONE,AMOUNT_COVERED,AMOUNT_UNCOVERED,REVENUE,COVERED_ENCOUNTERS,UNCOVERED_ENCOUNTERS,COVERED_MEDICATIONS,UNCOVERED_MEDICATIONS,COVERED_PROCEDURES,UNCOVERED_PROCEDURES,COVERED_IMMUNIZATIONS,UNCOVERED_IMMUNIZATIONS,UNIQUE_CUSTOMERS,QOLS_AVG,MEMBER_MONTHS
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1023331.01,65499.76,135750.00,163,0,41,0,304,0,64,0,2,0.6204071202171091,636
d47b3510-2895-3b70-9897-342d681c769d,Humana,500 West Main St,Louisville,KY,40018,1-844-330-7799,0.00,101133.94,266900.00,45,3,0,30,0,33,0,27,3,0.6716551277971844,156
6e2f1a2d-27bd-3701-8d08-dae202c58632,Blue Cross Blue Shield,Michigan Plaza,Chicago,IL,60007,1-800-262-2583,29192.61,27870.12,282600.00,48,0,60,0,26,0,32,0,3,0.6046206095400046,168
5059a55e-5d6e-34d1-b6cb-d83d16e57bcf,UnitedHealthcare,9800 Healthcare Lane,Minnetonka,MN,55436,1-888-545-5205,0.00,157719.50,216600.00,24,5,0,28,0,42,0,11,3,0.5353371654987723,132
4d71f845-a6a9-3c39-b242-14d25ef86a8d,Aetna,151 Farmington Ave,Hartford,CT,6156,1-800-872-3862,0.00,237983.96,492000.00,56,16,0,55,0,53,0,37,3,0.6291771744016564,264
047f6ec3-6215-35eb-9608-f9dda363a44c,Cigna Health,900 Cottage Grove Rd,Bloomfield,CT,6002,1-800-997-1654,29.61,318043.33,363300.00,38,11,0,69,0,269,0,12,3,0.44466063613768675,192
42c4fca7-f8a9-3cd1-982a-dd9751bf3e2a,Anthem,220 Virginia Ave,Indianapolis,IN,46204,1-800-331-1476,0.00,38113.67,385000.00,19,30,0,64,0,23,0,30,3,0.8,180
b1c428d6-4f07-31e0-90f0-68ffa6ff8c76,NO_INSURANCE,,,,,,0.00,1589895.33,0.00,0,337,0,445,0,402,0,73,0,Infinity,0
b3221cfc-24fb-339e-823d-bc4136cbc4ed,Dual Eligible,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,NaN,0
7caa7254-5050-3b5e-9eae-bd5ea30e809c,Medicare,7500 Security Blvd,Baltimore,MD,21244,1-800-633-4227,27540.28,1040.00,15750.00,17,0,14,0,9,0,9,0,2,0.6095816340551429,72
7c4411ce-02f1-39b5-b9ec-dfbea9ad3c1a,Medicaid,7500 Security Blvd,Baltimore,MD,21244,1-877-267-2323,1013779.97,66737.10,165750.00,170,0,66,0,355,0,53,0,3,0.8371032597768324,684
